Lake,ID,Lab,Depth,Date,Site,Position,Type,Chla,FPChla_eq,FPCyano_eq,FPGreen_eq,FPDiatom_eq,FPCrypto,Microcystin
Canandaigua,20191029-CGLT(1)-Tcline-WS,SBU,,10/29/2019,CGLT(1),Tcline,WS,,,,,,,
Canandaigua,20191029-CGLT(1)-Hypo-WS,SBU,20,10/29/2019,CGLT(1),Hypo,WS,1.35,1.48,0.11,0.09,0.90,0.38,0
Canandaigua,20191029-CGLT(1)-Bott-WS,SBU,24,10/29/2019,CGLT(1),Bott,WS,,0.79,0.20,0.02,0.22,0.35,0
Canandaigua,20191029-CGLT(1W)-Surf-WS,SBU,0.5,10/29/2019,CGLT(1W),Surf,WS,,1.26,0.04,0.17,0.66,0.40,0
Canandaigua,20191029-CGLT(1W)-Epi-WS,SBU,2,10/29/2019,CGLT(1W),Epi,WS,,1.21,0.11,0.02,0.71,0.38,0
Canandaigua,20191029-CGLT(1W)-Tcline-WS,SBU,,10/29/2019,CGLT(1W),Tcline,WS,,,,,,,
Canandaigua,20191029-CGLT(1W)-Bott-WS,SBU,13,10/29/2019,CGLT(1W),Bott,WS,,0.81,0.31,0.16,0.17,0.17,0
Canandaigua,20191029-CGLT(1E)-Surf-WS,SBU,0.5,10/29/2019,CGLT(1E),Surf,WS,,1.21,0.07,0.03,0.53,0.59,0
Canandaigua,20191029-CGLT(1E)-Epi-WS,SBU,2,10/29/2019,CGLT(1E),Epi,WS,,1.12,0.04,0.02,0.60,0.47,0
Canandaigua,20191029-CGLT(1)-Tcline-WS,SBU,,10/29/2019,CGLT(1E),Tcline,WS,,,,,,,
Canandaigua,20191029-CGLT(1E)-Bott-WS,SBU,15,10/29/2019,CGLT(1E),Bott,WS,,0.98,0.17,0.00,0.39,0.42,0
Canandaigua,20191029-CGLT(2)-Surf-WS,SBU,0.5,10/29/2019,CGLT(2),Surf,WS,0.91,0.98,0.14,0.06,0.36,0.41,0.18
Canandaigua,20191029-CGLT(2)-Epi-WS,SBU,2,10/29/2019,CGLT(2),Epi,WS,1,1.02,0.18,0.05,0.38,0.40,0.16
Canandaigua,20191029-CGLT(3)-Surf-WS,SBU,0.5,10/29/2019,CGLT(3),Surf,WS,0.75,0.63,0.34,0.06,0.05,0.18,0
Canandaigua,20191029-CGLT(3)-Epi-WS,SBU,2,10/29/2019,CGLT(3),Epi,WS,,0.59,0.28,0.02,0.07,0.21,0
Canandaigua,20191029-CGLT(4)-Surf-WS,SBU,0.5,10/29/2019,CGLT(4),Surf,WS,0.59,0.61,0.38,0.08,0.02,0.14,0
Canandaigua,20191029-CGLT(4)-Epi-WS,SBU,2,10/29/2019,CGLT(4),Epi,WS,,0.7,0.36,0.01,0.15,0.19,0
